GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0010894	174.427004127471	0.765101755526267	0.159868224885063	4.78582755313843	1.70284221220433e-06	4.69162846798049e-05	chr3L	5559469	5561598	-	protein_coding	sinu
FBgn0033649	662.988034793903	-0.601185858363943	0.125618104742557	-4.78582175392648	1.70289138706031e-06	4.69162846798049e-05	chr2R	11712262	11726345	+	protein_coding	pyr
FBgn0020493	332.316301747594	-0.672799041428136	0.140620373124698	-4.78450615993969	1.71408241076207e-06	4.70746886841354e-05	chr3R	17054006	17070408	+	protein_coding	Dad
FBgn0014906	3666.16042724524	-0.435292100504466	0.0910823631557165	-4.77910415829111	1.7607796507624e-06	4.8204128983372e-05	chr2L	3163644	3169462	+	protein_coding	Hydr2
FBgn0085446	3947.00337356593	0.519113149801679	0.108792009361902	4.77161101119864	1.82758205458588e-06	4.98751178366638e-05	chrX	6540770	6589173	+	protein_coding	CG34417
FBgn0016075	35139.9828673028	0.460879955688139	0.0966062248569289	4.77070661202929	1.83580770430879e-06	4.99420517294822e-05	chr2L	5012143	5028191	-	protein_coding	vkg
FBgn0035879	1444.0788379928	-0.449039074905861	0.0944663308518446	-4.75342982898434	1.99994536952586e-06	5.42367629835994e-05	chr3L	8346560	8352279	+	protein_coding	GAPcenA
FBgn0000043	30711.9091516855	0.550976542135622	0.115958646371014	4.75149166861391	2.01921480641814e-06	5.45882102822604e-05	chr2R	6013909	6015689	-	protein_coding	Act42A
FBgn0039101	298.826856513963	-0.793542067374382	0.16791609751594	-4.72582485606571	2.291831237456e-06	6.15733914137636e-05	chr3R	23682502	23683980	+	protein_coding	CG16710
FBgn0011016	1739.67907180101	0.469505855810954	0.0993435221730496	4.72608425331555	2.28890709450525e-06	6.15733914137636e-05	chr3L	16129616	16130983	+	protein_coding	SsRbeta
FBgn0024150	2217.49406990811	-0.581621611575589	0.123278626418252	-4.71794364095441	2.38240467499953e-06	6.38086156143064e-05	chr3L	21136446	21171930	-	protein_coding	Ac78C
FBgn0032105	601.547931719886	0.502966187049685	0.106768512804513	4.71081008658971	2.46734077601369e-06	6.58795217694273e-05	chr2L	9251471	9253118	-	protein_coding	borr
FBgn0024250	376.334453608265	-0.68353265936213	0.145334826893679	-4.70315803838384	2.56167977698978e-06	6.81879746176571e-05	chrX	7307938	7311132	+	protein_coding	brk
FBgn0036576	596.064063540048	-0.820447443025406	0.174541722595895	-4.70058064526461	2.5942277750453e-06	6.88425290856346e-05	chr3L	16137801	16164701	-	protein_coding	CG5151
FBgn0031888	2741.43773624626	0.419071087547908	0.0892377138041632	4.69612084042831	2.65148717530331e-06	7.01468365551956e-05	chr2L	7069535	7084635	-	protein_coding	Pvf2
FBgn0000405	2299.24773592839	0.507735893430242	0.108390921490045	4.68430276678544	2.80914516139478e-06	7.40912036317874e-05	chr2R	22803520	22806948	-	protein_coding	CycB
FBgn0040290	714.813767225053	-0.505632554411783	0.107978603509619	-4.68271062948816	2.83106037863066e-06	7.44422593785223e-05	chr3L	8170639	8175978	-	protein_coding	RecQ4
FBgn0035001	8160.57280324168	-0.418539740764444	0.0894182186887458	-4.68069870885407	2.85898847537638e-06	7.49488160620639e-05	chr2R	24392128	24402680	-	protein_coding	Slik
FBgn0028543	712.756116755119	-0.537346418371868	0.114973708256265	-4.67364605805508	2.95899098319474e-06	7.73360453039809e-05	chr2L	13965011	13967018	-	protein_coding	NimB2
FBgn0038720	249.545428238394	0.655923640364068	0.140477198326009	4.66925343173381	3.0229627527468e-06	7.8770032451845e-05	chr3R	19616023	19632718	-	protein_coding	CG6231
FBgn0031489	1066.08485923041	0.458199386125445	0.0981811461040951	4.66687754530433	3.05811459380635e-06	7.94466947478041e-05	chr2L	3016440	3018308	-	protein_coding	CG17224
FBgn0037607	5302.17322184199	0.463382762278207	0.0993277481382714	4.66518944568384	3.0833283768828e-06	7.98618975700991e-05	chr3R	8667867	8673702	+	protein_coding	CG8036
FBgn0010097	108.449145650869	0.872756091845697	0.188106914782488	4.63968107102754	3.48947277050025e-06	9.01117281719333e-05	chr2L	19183862	19185726	-	protein_coding	gammaTub37C
FBgn0037223	24.4741471885672	-1.08504455912051	0.234309531086136	-4.63081699703299	3.64225689043444e-06	9.37772748784177e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0028563	976.050882991226	-0.559310126619964	0.120823332721011	-4.62915658775486	3.67158061290742e-06	9.42517622619054e-05	chr2R	8082975	8087151	+	protein_coding	sut1
FBgn0010223	57.3333454505109	-0.97280542705133	0.210709305672383	-4.61681283580268	3.89678417952284e-06	9.97369228906867e-05	chr3L	16662556	16667934	-	protein_coding	Galphaf
FBgn0031738	559.585079890901	0.563762518804862	0.122199985857881	4.61344176799268	3.96055261731733e-06	0.000100899365153479	chr2L	5767001	5800253	-	protein_coding	CG9171
FBgn0032005	4130.10690560968	-0.394899839825973	0.0856025041408921	-4.61318093190372	3.96552816462638e-06	0.000100899365153479	chr2L	8218070	8220741	-	protein_coding	Snx6
FBgn0000447	619.016638255243	0.521801811754893	0.11319508911183	4.60975662326998	4.03140629699392e-06	0.00010227476796274	chr3R	8651390	8652916	-	protein_coding	Dhod
FBgn0010222	541.974062333949	-0.548672004300593	0.119082186758296	-4.60750695999769	4.07525567464912e-06	0.000103084903044999	chr3R	9042507	9050555	-	protein_coding	Nmdmc
FBgn0027597	407.74980850699	0.563706468099152	0.122602123399538	4.5978524063742	4.2686820876091e-06	0.000107662882623634	chr2L	1750686	1752122	-	protein_coding	CG17712
FBgn0033368	66.3841350734987	0.967660073533176	0.210781709671172	4.59081613410749	4.41516159158719e-06	0.000111033613165177	chr2R	9044849	9060608	-	protein_coding	CG13743
FBgn0283680	2193.67432337411	0.417581578729407	0.0909796748260509	4.5898337131651	4.43599261021324e-06	0.000111234121944796	chrX	13303632	13329303	+	protein_coding	IP3K2
FBgn0041180	8867.17531479972	-0.429593251540661	0.0938276458382296	-4.5785359709582	4.68241650796452e-06	0.000117073945694801	chr2L	19548506	19556451	+	protein_coding	Tep4
FBgn0022338	1030.27725348304	-0.457358385175014	0.099962853036025	-4.57528343063787	4.75575701834267e-06	0.000118564997019258	chr3R	18980994	18982749	+	protein_coding	dnk
FBgn0261258	2080.46201647553	0.590218844666807	0.129267131367192	4.56588491153449	4.97391613997113e-06	0.00012364755323819	chr3L	21382500	21424416	+	protein_coding	rgn
FBgn0027865	421.925997881726	0.627625040190343	0.137749589611087	4.55627520896679	5.20687060771199e-06	0.000129067729591165	chr3R	25872899	25881427	-	protein_coding	Tsp96F
FBgn0046763	2199.01366493534	-0.422469669593156	0.0928814121211746	-4.54848456698737	5.40336050770874e-06	0.000133555633577681	chr3R	21021043	21024163	-	protein_coding	CG17278
FBgn0087007	131.521433025241	0.853279097078839	0.188332357387115	4.53070894941827	5.87860799386499e-06	0.000144888426652211	chr3L	14412827	14536276	-	protein_coding	bbg
FBgn0026084	868.097717645133	0.479792936977155	0.106141198566686	4.52032710630935	6.17441534554112e-06	0.000151746781688285	chrX	4106112	4110981	+	protein_coding	cib
FBgn0037240	1713.70256121481	0.50018929311128	0.110751949285475	4.51630238870096	6.2928786184672e-06	0.000153784443300451	chr3R	4381305	4387018	+	protein_coding	Cont
FBgn0000565	613.645238703027	0.608742654915472	0.134775470489189	4.5167169716117	6.28057606056513e-06	0.000153784443300451	chr3L	15511051	15513202	+	protein_coding	MsrA
FBgn0260960	3280.97245317888	-0.384518330885514	0.0852728767013717	-4.50926889956004	6.50514136778278e-06	0.000158523881613208	chr3L	16648441	16661615	-	protein_coding	Baldspot
FBgn0033926	5760.62729748644	0.46992431970097	0.10436505963777	4.50269775470815	6.70962729048045e-06	0.000163047712612209	chr2R	14357926	14360297	-	protein_coding	Arc1
FBgn0031461	540.911125862548	0.552868677245974	0.122872602175539	4.49952770151422	6.81046049813557e-06	0.00016503443632877	chr2L	2805260	2812376	+	protein_coding	daw
FBgn0034694	409.10341592031	-0.580852265837443	0.129290621501517	-4.49260943362879	7.03557443827135e-06	0.000170013280629848	chr2R	22103176	22105963	+	protein_coding	Plekhm1
FBgn0051352	337.974859970543	0.595366937322343	0.132649088663776	4.4882851689348	7.17987780066201e-06	0.000173017055302304	chr3R	9694385	9705417	-	protein_coding	Unc-115a
FBgn0039494	2237.63517327595	-0.434955622618034	0.0970975102007964	-4.47957544656451	7.47916510815143e-06	0.000179728492640605	chr3R	27157947	27159781	+	protein_coding	grass
FBgn0035020	305.176599623635	-0.655138688486262	0.146693405986892	-4.4660404745446	7.96805417432576e-06	0.000190946361944853	chr2R	24531593	24533391	+	protein_coding	CG13585
FBgn0033079	374.446196871853	-0.604808501559434	0.135592930414762	-4.46047223634301	8.17792531024267e-06	0.000195434342151683	chr2R	6642417	6645098	-	protein_coding	Fmo-2
FBgn0027525	3200.00660874627	-0.392239758685542	0.0882951394025287	-4.44237090897337	8.89730142013165e-06	0.000212040095277022	chr2R	10836569	10838727	-	protein_coding	LTV1
FBgn0063493	285.833985892625	0.711139141587868	0.160103173719537	4.44175543224157	8.92279428891078e-06	0.000212063443388371	chr2R	18406923	18407688	+	protein_coding	GstE7
FBgn0037850	342.097875661328	0.568429045921165	0.128191790050798	4.43420788254782	9.24114255223055e-06	0.000219027737587251	chr3R	10878203	10879319	-	protein_coding	CG14695
FBgn0261547	652.94401888975	-0.539027457486991	0.121840301716681	-4.42404893858853	9.68680620145117e-06	0.000228963279914629	chr3L	16970012	16994388	+	protein_coding	Exn
FBgn0036862	290.949607841529	0.850372239617639	0.192464514132028	4.41833261291116	9.94652688361952e-06	0.000233824467582045	chr3L	19281363	19292766	-	protein_coding	Gbs-76A
FBgn0031637	1278.39290426131	-0.413950677838033	0.0936770742910121	-4.41891125412474	9.91993683831887e-06	0.000233824467582045	chr2L	4841481	4847295	-	protein_coding	mxt
FBgn0020386	2962.82436399792	-0.40410874325593	0.0917142355241318	-4.4061725090605	1.05213182144962e-05	0.000246666460362077	chr3L	129449	145895	+	protein_coding	Pdk1
FBgn0035084	141.649351776211	-0.733568008011746	0.166730096110401	-4.39973361213689	1.08383843494613e-05	0.000253413143262676	chr2R	24943391	24945201	-	protein_coding	CG15861
FBgn0033446	84.9703754592392	-0.864290086316893	0.196572459483069	-4.39680150815499	1.09857721569715e-05	0.000256166886603668	chr2R	9810973	9820053	-	protein_coding	CG1648
FBgn0004197	1334.93066946365	-0.447432263110314	0.10180604293267	-4.39494798364992	1.10799281965935e-05	0.000257667900077233	chr3R	27172089	27194267	-	protein_coding	Ser
FBgn0261545	1644.59859553844	-0.513247882954651	0.116810741452419	-4.39384149585007	1.11365027008897e-05	0.000258289235564068	chr2R	12705171	12751545	+	protein_coding	CG42663
FBgn0050085	2421.21050124921	-0.423606314962744	0.0964553751730872	-4.39173363021595	1.12450414445094e-05	0.000260109234054681	chr2R	15864308	15869147	-	protein_coding	Rif1
FBgn0033362	139.349776816616	-0.765069335575068	0.174293028608752	-4.38955787091447	1.13581350072327e-05	0.000262024602526855	chr2R	9007233	9013526	-	protein_coding	CG8172
FBgn0013770	30717.6662813859	-0.341055754001216	0.0777805073278812	-4.38484866861958	1.16066438254876e-05	0.00026704541418695	chr2R	13960674	13967981	+	protein_coding	Cp1
FBgn0037844	252.267475865978	0.612170786222267	0.13964389040553	4.38379928004371	1.16627238327009e-05	0.000267623936012455	chr3R	10856806	10858066	+	protein_coding	CG4570
FBgn0037678	34.3091898550503	1.01401417329819	0.231516925766506	4.37987058588047	1.18749811537155e-05	0.000271773708890985	chr3R	9330884	9331885	-	protein_coding	CG16749
FBgn0259110	715.212678020643	-0.48730331851527	0.111688581700376	-4.36305404810805	1.28259240183189e-05	0.000292762714201785	chrX	15946935	15973159	-	protein_coding	mmd
FBgn0034476	161.601063941416	-0.795405772338319	0.182780012724807	-4.35171089267774	1.35079304933176e-05	0.000307518701836028	chr2R	19826577	19832973	+	protein_coding	Toll-7
FBgn0038256	1107.70108987117	-0.58266562183918	0.133947994471369	-4.34993912479761	1.36175330029776e-05	0.000309152923429001	chr3R	14724759	14731509	-	protein_coding	CG7530
FBgn0262103	1433.58696697072	-0.487277387425635	0.112048070778069	-4.34882442903255	1.36869228613232e-05	0.000309152923429001	chr2R	18688131	18705805	+	protein_coding	Sik3
FBgn0032156	1468.82507982293	-0.397754283398638	0.0914576575494457	-4.34905391255615	1.36726099897224e-05	0.000309152923429001	chr2L	9903278	9908633	-	protein_coding	CG13124
FBgn0259734	287.905994919107	0.65714219051194	0.151803456806696	4.32890135926703	1.49855029851905e-05	0.000337603089387715	chrX	9030204	9054575	+	protein_coding	Nost
FBgn0030362	6672.27898167887	-0.425313189248113	0.0982667196479032	-4.32815088131609	1.5036644951927e-05	0.000337875364880832	chrX	12012376	12017375	+	protein_coding	regucalcin
FBgn0267727	5647.51371921301	0.39091251429603	0.0903821804781245	4.32510603559342	1.52458509442308e-05	0.000341688747457358	chr2L	10056899	10060095	+	protein_coding	Pen
FBgn0265042	139.358752931273	-0.754568044590898	0.174611714535339	-4.32140562045845	1.55038365607015e-05	0.000346572842601107	chr3R	23168316	23185642	+	protein_coding	Irk1
FBgn0022382	809.387369629848	-0.469140089964897	0.108610291839386	-4.31948098121922	1.56396585757956e-05	0.000348707954482495	chr2R	9993889	10026042	-	protein_coding	Pka-R2
FBgn0028490	8118.02345099558	-0.423286689095734	0.0981685207724266	-4.31183729534841	1.61903557929093e-05	0.000360058529471616	chr2L	11523020	11528205	-	protein_coding	CG31705
FBgn0039026	2858.08941279778	-0.413297853228648	0.0959262878648341	-4.30849418264793	1.64369799043098e-05	0.000364208743119951	chr3R	22750900	22794030	+	protein_coding	CG7029
FBgn0015795	2105.57707319004	-0.427457672048995	0.0992202702210697	-4.30816879551517	1.64611742642354e-05	0.000364208743119951	chr3R	23993007	23995452	+	protein_coding	Rab7
FBgn0036752	6003.41497027603	0.473420409932261	0.110102659783131	4.29980902245918	1.70945357012955e-05	0.00037629727316007	chr3L	17751730	17764158	-	protein_coding	Adgf-A
FBgn0086358	1417.71349600976	-0.448632716783444	0.104331922255235	-4.30005224753667	1.70757846560745e-05	0.00037629727316007	chr2R	19292528	19304508	+	protein_coding	Tab2
FBgn0063667	12.7772414430163	0.971612179551075	0.226312673455162	4.29322920681936	1.76093051752213e-05	0.000385666073597062	chr3L	1201870	1203036	-	protein_coding	CG32335
FBgn0027843	736.268951860357	0.536417550973034	0.124934150653824	4.29360225499412	1.75797292032373e-05	0.000385666073597062	chr3L	12177600	12183347	+	protein_coding	CAH2
FBgn0038545	82.9211428791511	0.824031035551058	0.192176532479818	4.28788585639402	1.8038173881545e-05	0.000394061217801125	chr3R	17795074	17796317	+	protein_coding	pasi1
FBgn0030752	3942.20041536885	-0.391215106704163	0.0912780200282393	-4.28597275207252	1.81941289039189e-05	0.000396467025561216	chrX	16438679	16441296	-	protein_coding	CDC50
FBgn0264343	38.742911098778	0.967145246720978	0.225840919525066	4.28241812314104	1.84873168174573e-05	0.000401843662783475	chr2L	7227733	7228641	+	protein_coding	CG43799
FBgn0034398	5230.19851153441	-0.389196990535584	0.0909491887424352	-4.27927940773365	1.87499364841236e-05	0.00040653057775477	chr2R	18833371	18834775	-	protein_coding	CG15098
FBgn0015576	175.726330426449	-0.713356341875737	0.166926203083694	-4.27348330398478	1.92442700766761e-05	0.000416205451083312	chr3R	7509342	7515670	-	protein_coding	alpha-Est8
FBgn0265048	9033.31543932578	-0.366502505652814	0.0858382512815577	-4.26968746661265	1.95747063247032e-05	0.000422296220486302	chr3R	15844465	15853581	-	protein_coding	cv-d
FBgn0266377	6351.90883742337	-0.400349441661825	0.0938735153400031	-4.26477521601048	2.00103554041557e-05	0.000430620857217291	chr2R	23657566	23680844	+	protein_coding	Pde8
FBgn0038237	28.8315293702816	-0.990318043154442	0.233999468680114	-4.23213799903215	2.31480300270495e-05	0.000495677246940608	chr3R	14513900	14558304	-	protein_coding	Pde6
FBgn0032899	1185.39559650562	-0.536729831211223	0.126808517631046	-4.23260078453767	2.31004338511989e-05	0.000495677246940608	chr2L	20865214	20867709	+	protein_coding	CG9338
FBgn0263336	126.769180081742	-0.828762032897492	0.195900834608574	-4.23051813206118	2.3315364808242e-05	0.000498027706064448	chr2R	16817518	16819240	-	ncRNA	lncRNA:CR43417
FBgn0010786	3658.30912349818	0.405784765738716	0.0959543641741326	4.22893496540001	2.34800201889494e-05	0.000500309494223156	chr3L	1334888	1339415	+	protein_coding	l(3)02640
FBgn0036641	218.809646943789	0.636117406634781	0.150577610164064	4.22451522468506	2.39455664403301e-05	0.000507728174694351	chr3L	16580397	16581547	-	protein_coding	Smn
FBgn0023477	1789.18922324359	0.443535238428045	0.104983006736	4.22482887676668	2.39122409900217e-05	0.000507728174694351	chr2R	23940409	23942114	+	protein_coding	Taldo
FBgn0270926	729.519210873745	-0.438547338004695	0.103907558653149	-4.22055280375318	2.43703962537046e-05	0.000514215360953167	chr3L	21173117	21174973	+	protein_coding	AsnS
FBgn0029608	666.829801797019	-0.53250357960382	0.126153684363247	-4.22107037373978	2.43145007671225e-05	0.000514215360953167	chrX	2252331	2254197	-	protein_coding	CG3091
FBgn0002609	42.0808370407271	-0.950024176728312	0.225349166130868	-4.21578740689283	2.48908163674019e-05	0.000523918375655459	chr3R	26021822	26023127	+	protein_coding	E(spl)m3-HLH
FBgn0032820	332.503887909165	0.535242883224986	0.127030199249603	4.21350896390614	2.51433603638878e-05	0.000527949540067945	chr2L	19761586	19764136	-	protein_coding	fbp
FBgn0020414	9217.91065102421	-0.397341766016585	0.0943960800717905	-4.20930366721158	2.56158920514823e-05	0.000536569206143762	chr2L	16450906	16455194	+	protein_coding	Idgf3
FBgn0041604	313.721632172555	0.544636574573457	0.129443960970664	4.20750856578691	2.58201619094084e-05	0.000539541595841285	chr3L	14632600	14671609	+	protein_coding	dlp
FBgn0250904	27.8932343842288	0.970591589988308	0.231051000015704	4.20076775223798	2.66011364627501e-05	0.000554521521781328	chrX	5614553	5616370	-	protein_coding	CG34434
FBgn0032330	354.561014873869	-0.58572558505419	0.139473729225929	-4.19954057516733	2.67457101345787e-05	0.000556195044168847	chr2L	11013205	11066998	-	protein_coding	Samuel
FBgn0027590	479.979012267441	-0.510294427802243	0.121560312188642	-4.19787032967099	2.69436826122949e-05	0.000558968341196554	chr2R	24766717	24768172	-	protein_coding	GstE12
FBgn0011674	97.1834184676799	0.76447851495788	0.182185753157704	4.19614872023573	2.71492011735831e-05	0.000561884543905903	chr2R	20821261	20836028	-	protein_coding	insc
FBgn0086687	8490.16354678571	-0.338340429555921	0.0806649746052571	-4.19439082714186	2.73605887052565e-05	0.000564908002122133	chr3R	12439599	12447616	+	protein_coding	Desat1
FBgn0026179	456.928010887856	0.603153045341359	0.14395748177888	4.18979991792166	2.79200531880382e-05	0.000575086619356472	chr3L	21034534	21075444	+	protein_coding	siz
FBgn0000256	2155.71606663007	-0.456986730285012	0.109229565790413	-4.18372742744275	2.86767921713415e-05	0.000589270615378327	chr2L	3872645	3902860	-	protein_coding	capu
FBgn0001297	11151.1163128017	-0.413329370266079	0.0988230562779717	-4.18251960456938	2.88296148817255e-05	0.000591007105075372	chr3R	29765994	29794113	+	protein_coding	kay
FBgn0261444	723.202360595698	0.547902932309348	0.131020362665661	4.18181510997259	2.89191099058164e-05	0.000591440235922501	chrX	1215288	1236684	-	protein_coding	CG3638
FBgn0020376	41.739317065965	-0.951860991550867	0.227744638649321	-4.17950998625497	2.92137891719776e-05	0.000596057759732967	chr2L	4120342	4121627	+	protein_coding	Sr-CIII
FBgn0000286	489.71095650197	-0.514757161397586	0.123368425542191	-4.17251950112262	3.012498065477e-05	0.00061320284151627	chr2L	4876890	4883107	-	protein_coding	Cf2
FBgn0029092	7965.78779458561	-0.453683480494439	0.108792717311483	-4.17016406709929	3.04380428462791e-05	0.000618120912354837	chr2R	9434668	9444937	-	protein_coding	ced-6
FBgn0029664	602.993531627992	0.502202758082508	0.120466177543376	4.16882786790243	3.06170098185159e-05	0.000620299184871151	chrX	3482964	3484555	+	protein_coding	CG10802
FBgn0052677	50.2201351962254	0.910827907902306	0.218540507198134	4.16777612342836	3.07585805393258e-05	0.000621711402443243	chrX	10627736	10710947	+	protein_coding	X11Lbeta
FBgn0030052	7137.15396348052	-0.381379345234916	0.0915675877510836	-4.16500373769433	3.11347463917095e-05	0.000627847764649602	chrX	8574305	8588528	+	protein_coding	CG12065
FBgn0020618	28123.1681105604	-0.422433525270393	0.10144945812625	-4.16398010470089	3.12747378621757e-05	0.000629204086617864	chr2L	7825346	7827315	-	protein_coding	Rack1
FBgn0004652	2799.0254032039	-0.556820371261832	0.133823867281695	-4.16084501645541	3.17072213084548e-05	0.000636424991970863	chr3R	18414272	18545586	-	protein_coding	fru
FBgn0051361	1348.85372217407	0.536436754582691	0.129677490487733	4.13669907217581	3.52337690478545e-05	0.000705572537113401	chr3R	12094875	12111420	+	protein_coding	dpr17
FBgn0033363	107.285286306806	-0.781200563086682	0.188911268805792	-4.13527773131304	3.54525609866406e-05	0.000708314330474429	chr2R	9014367	9017195	-	protein_coding	CG13744
FBgn0011710	2550.58900631018	0.358374117732008	0.0866982344526341	4.13358034329752	3.57155362607783e-05	0.000711924203207358	chrX	21358285	21361688	+	protein_coding	Sep1
FBgn0011606	1738.6629600775	0.409094642303876	0.0989912876603436	4.1326328000455	3.586314308506e-05	0.000713223105353687	chrX	2599157	2604052	-	protein_coding	Klp3A
FBgn0003891	12928.6421085394	-0.408115826996235	0.0989917629784435	-4.12272511082671	3.74416412806236e-05	0.000742907428253841	chr2R	21183321	21192913	+	protein_coding	tud
FBgn0003507	5255.05793709935	-0.415844146073554	0.100902569884252	-4.12124435037262	3.76831480208969e-05	0.000745988360477755	chr3R	15986151	16004085	+	protein_coding	srp
FBgn0042094	111.842268523371	-0.735775836895744	0.178692961199654	-4.11754235844612	3.82934162335757e-05	0.000756338684558593	chr3R	10887344	10889588	-	protein_coding	Adk3
FBgn0265419	378.136152795216	-0.628477022983281	0.152717748528836	-4.11528475922111	3.86701709124998e-05	0.000762040201740401	chr3R	8112698	8114003	-	ncRNA	lncRNA:CR44331
FBgn0262081	6564.67400831077	0.367873646244661	0.0895535854767286	4.1078606097827	3.99340979968087e-05	0.000785158822205437	chr3R	11633277	11650706	-	protein_coding	Csk
FBgn0038290	913.18741636264	-0.432953713981486	0.105415937353144	-4.10709921907812	4.00659150923067e-05	0.000785964243681508	chr3R	15135137	15137004	-	protein_coding	CG6912
FBgn0051637	2616.54738708404	-0.417216664584309	0.101615434170683	-4.10583951138282	4.02849113489184e-05	0.000788472325971704	chr2L	6498646	6526996	+	protein_coding	CG31637
FBgn0029114	1351.760627094	-0.410024989249212	0.0999123133427322	-4.10384841999095	4.06333745940292e-05	0.00079349734449875	chr3L	15235618	15242832	+	protein_coding	Tollo
FBgn0034501	2686.51420193766	-0.494608547772138	0.120610292682055	-4.10088174709924	4.11578856240623e-05	0.000801929884085052	chr2R	20308776	20316917	-	protein_coding	CG13868
FBgn0023507	884.579222771561	-0.455218567551195	0.111174624767403	-4.09462652564462	4.22849447966611e-05	0.000822038331316664	chrX	2141488	2144937	+	protein_coding	D2hgdh
FBgn0033268	84.260602246049	0.794510578472685	0.194102722339757	4.09324799207078	4.25372348977112e-05	0.000825088832063003	chr2R	8134169	8135315	-	protein_coding	Obp44a
FBgn0035523	47.78609902785	0.938127902494785	0.229554957332801	4.08672464927307	4.37505843831931e-05	0.000846725515657725	chr3L	4277961	4281585	+	protein_coding	Ctl1
FBgn0031012	982.207037364753	-0.426787759947136	0.104468882190629	-4.08530991236564	4.40180244487762e-05	0.000849999842648132	chrX	19301329	19307925	-	protein_coding	CG8051
FBgn0010228	1360.50279435814	0.458743050455108	0.112590304166196	4.07444543162395	4.6124126318015e-05	0.000888685560750886	chr2R	21697487	21707861	-	protein_coding	HmgZ
FBgn0052311	1381.03762304871	-0.535403697319587	0.131545174609632	-4.07011278755325	4.69903826120769e-05	0.00090336399994906	chr3L	2117465	2151700	-	protein_coding	zormin
FBgn0026189	12283.7846644377	0.388057287191986	0.0954868198825456	4.06398796890837	4.82413134880806e-05	0.000925356104180456	chr3L	3114449	3127724	-	protein_coding	promL
FBgn0030993	3640.71565968354	-0.417319947495741	0.102719126947383	-4.0627287234393	4.85023844912047e-05	0.000928305593436751	chrX	19188034	19190193	+	protein_coding	Mec2
FBgn0028939	21.1452476848483	-0.950626580401325	0.234061471331644	-4.0614398217397	4.87709907054529e-05	0.000931385961573671	chr2L	13980125	13983269	+	protein_coding	NimC2
FBgn0013548	776.326452379616	-0.46915154767508	0.11570927951812	-4.054571505664	5.02262852388286e-05	0.000954961744178255	chr2R	23702476	23705403	+	protein_coding	l(2)dtl
FBgn0035091	416.919192641552	0.503379196379708	0.124136351829455	4.0550506677631	5.01234367882378e-05	0.000954961744178255	chr2R	24986043	24990489	+	protein_coding	CG3829
FBgn0028331	5172.58353265043	-0.390921011679929	0.0966633777142943	-4.04414806231338	5.25137262635359e-05	0.00099626369716195	chrX	10348679	10366273	-	protein_coding	l(1)G0289
FBgn0033448	814.593047644163	-0.509612341960819	0.126192503015179	-4.03837256401453	5.38233204578656e-05	0.00101887427851421	chr2R	9828103	9836642	-	protein_coding	hebe
FBgn0035165	3911.30611761782	0.349538567781622	0.0867845327628617	4.02765972983613	5.63347943254048e-05	0.00106408800373161	chr3L	837860	839931	+	protein_coding	CG13887
FBgn0015801	816.257073752155	-0.414116226540996	0.103102720580436	-4.01654024461866	5.90587822506339e-05	0.0011131100767979	chr2R	24788007	24793410	-	protein_coding	Reg-5
FBgn0031049	444.337132579978	0.638524883063934	0.159079146639983	4.01388174723491	5.97282781615343e-05	0.00112328116168572	chrX	19643326	19644518	+	protein_coding	Sec61gamma
FBgn0038815	169.754370576037	0.620922726356438	0.154973949221316	4.00662646513388	6.15921533905443e-05	0.00115582151622906	chr3R	20617882	20621269	+	protein_coding	CG5466
FBgn0032400	437.17766545755	-0.677470567413922	0.169443711418334	-3.99820425168412	6.38248646079876e-05	0.00119512749723745	chr2L	12045342	12046118	-	protein_coding	CG6770
FBgn0010300	5142.57066184547	-0.388087224203961	0.0971431488136958	-3.99500354830218	6.46932840467443e-05	0.00120877235483452	chr2L	19133815	19179758	+	protein_coding	brat
FBgn0033128	453.06659676621	-0.50707428016201	0.126961495976553	-3.99392174975362	6.49893194302686e-05	0.0012116866430846	chr2R	7028910	7033233	+	protein_coding	Tsp42Eg
FBgn0053556	219.093254262886	0.779054622054447	0.195118783565817	3.99271975674068	6.53197497516511e-05	0.00121522829054093	chr3L	7094817	7123297	+	protein_coding	form3
FBgn0000490	190.733798971964	0.716029215831813	0.179680191696265	3.98502032456757	6.74743500692557e-05	0.00125261931856037	chr2L	2428371	2459823	+	protein_coding	dpp
FBgn0264895	265.594540715354	0.692856437178351	0.174164516707927	3.97817219187228	6.94470725996401e-05	0.00128648099584472	chr2L	7497804	7578980	-	protein_coding	RapGAP1
FBgn0035710	17.2447045625398	0.912947715523562	0.229844406245803	3.9720249469427	7.12642545381142e-05	0.001317322790618	chr3L	6689326	6703521	-	protein_coding	SP1173
FBgn0033033	1787.87014681655	-0.375646295845366	0.0946310908638928	-3.96958644792181	7.19974824731138e-05	0.00132803885047955	chr2R	5676749	5691723	-	protein_coding	scaf
FBgn0038049	729.316895456607	0.442732533842557	0.111638604681044	3.96576556207828	7.31607451921664e-05	0.00134376561923022	chr3R	12434097	12435643	+	protein_coding	Srlp
FBgn0015522	133.182010020527	-0.733438292510938	0.184928541689251	-3.96606324697778	7.30694807736124e-05	0.00134376561923022	chr2R	17846698	17848444	+	protein_coding	olf186-M
